,compound_id,inchi_key,mass,cc_low,cc_high,formation_energy_cc,formation_energy_rc
0,5,XLYOFNOQVPJJNP-UHFFFAOYSA-N,18.015,-240.10321356603697,-237.00913650490668,-238.55617503547182,-238.55617503547225
1,6,ZKHQWZAMYRWXGA-KQYNXXCUSA-J,503.151,-2817.2863446102547,-2811.21266427902,-2814.2495044446373,-2814.249504444636
2,7,MYMOFIZGZYHOMD-UHFFFAOYSA-N,31.998,10.424356206655307,22.375643793074563,16.399999999864935,16.39999999990321
3,8,XJLXINKUBYWONI-NNYOXOHSSA-K,740.3860000000001,-3109.95756569016,-3082.7524923779106,-3096.3550290340354,-683.1695479694818
4,9,ACFIXJIJDZMPPO-NNYOXOHSSA-J,741.3939999999999,-3081.280845879903,-3054.087756112765,-3067.684300996334,-654.4988199317794
5,10,XTWYTFMLZFPYCI-KQYNXXCUSA-K,424.18,-1948.4064638809239,-1943.409729406843,-1945.9080966438835,-1945.9080966438844
6,11,BAWFJGJZGIEFAR-NNYOXOHSSA-M,662.422,-2269.8741805692766,-2243.2451208036687,-2256.5596506864727,156.62583037809742
7,12,NBIIXXVUZAFLBC-UHFFFAOYSA-L,95.979,-1095.0019341969632,-1091.9498895749743,-1093.4759118859688,-1093.4759118859695
8,13,BOPGDPNILDQYTO-NNYOXOHSSA-L,663.431,-2244.6702394853182,-2218.0272869408345,-2231.3487632130764,181.83671785149727
9,14,XPPKVPWEQAFLFU-UHFFFAOYSA-K,174.95,-1975.3791884320099,-1970.8558852742863,-1973.117536853148,-1973.1175368531494
10,15,RGJOEKWQDUBAIZ-IBOSZNHHSA-J,763.5,-3103.6192445098536,-3072.338502329188,-3087.978873419521,108.35299450090031
11,16,CURLTUGMZLYLDI-UHFFFAOYSA-N,44.00899999999999,-391.97564379320505,-380.0243562067988,-386.00000000000193,-386.0000000000044
12,17,UDMBCSSLTHHNCD-KQYNXXCUSA-L,345.209,-1035.2873010218318,-1030.4075728725907,-1032.8474369472112,-1032.8474369472135
13,18,QGZKDVFQNNGYKY-UHFFFAOYSA-O,18.038,-84.63205142112403,-80.23365047671189,-82.43285094891796,-82.43285094891272
14,20,XCCTYIAWTASOJW-XVFCMESISA-K,401.13800000000003,-2499.6908077278713,-2480.6626082268567,-2490.176707977364,-46.04123937274396
15,21,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,384.41,-338.63186950076215,-322.5431121060117,-330.5874908033869,6.102068462226251
16,22,KPGXRSRHYNQIFN-UHFFFAOYSA-L,144.083,-793.3675231301472,-788.0482511387797,-790.7078871344635,-790.7078871344618
17,23,ZSLZBFCDCINBPY-ZSJPKINUSA-J,805.54,-3243.759092318396,-3212.647118228462,-3228.203105273429,-31.871237353004236
18,24,MHAJPDPJQMAIIY-UHFFFAOYSA-N,34.014,-139.96452587748882,-128.01323829108208,-133.98888208428545,-133.9888820843137
19,25,LCTONWCANYUPML-UHFFFAOYSA-M,87.055,-468.418389557866,-465.3263067371547,-466.87234814751037,-466.87234814751224
20,27,KDYFGRWQOYBRFD-UHFFFAOYSA-L,116.073,-682.0870052697572,-674.5426495012838,-678.3148273855205,-678.3148273855104
21,28,QTBSBXVTEAMEQO-UHFFFAOYSA-M,59.045,-369.7702528587991,-365.7606543045777,-367.7654535816884,-367.7654535816893
22,31,DHMQDGOQFOQNFH-UHFFFAOYSA-N,75.067,-381.8504005867388,-376.2890172864531,-379.06970893659593,-379.0697089365895
23,32,QGWNDRXFNXRZMB-UUOKFMHZSA-K,440.17900000000003,-137767.56151431674,132860.2969967623,-2453.6322587772274,-111.37322336265902
24,33,IERHLVCPSMICTF-XVFCMESISA-L,321.183,-1369.0854610264316,-1351.3851620038724,-1360.235311515152,456.9286043436788
25,34,QNAYBMKLOCPYGJ-REOHCLBHSA-N,89.094,-369.155156317887,-364.4285265968263,-366.79184145735667,-366.7918414573479
26,35,IMGVNJNCCGXBHD-UYBVJOGSSA-K,783.5419999999999,-2194.8649213330286,-2157.7503843879754,-2176.307652860502,38.76523881839782
27,39,ZDXPYRJPNDTMRX-VKHMYHEASA-N,146.14600000000002,-529.4718678274297,-521.9233017112066,-525.6975847693182,-525.6975847693211
28,40,YPZRHBJKEMOYQH-UYBVJOGSSA-L,785.558,-2272.395398969794,-2235.2808620247406,-2253.8381304972672,-38.765238818378165
29,41,BDAGIHXWWSANSR-UHFFFAOYSA-M,45.018,-350.10455317480915,-344.57119109404374,-347.33787213442645,-347.3378721344206
30,43,WQZGKKKJIJFFOK-GASJEMHNSA-N,180.15599999999998,-917.5172273011209,-914.915883324719,-916.2165553129199,-916.2165553129171
31,44,CKLJMWTZIZZHCS-REOHCLBHSA-M,132.096,-699.8401229220983,-694.6528373629383,-697.2464801425183,-697.2464801425194
32,48,KHPXUQMNIQBQEV-UHFFFAOYSA-L,130.056,-795.2612734117725,-790.9660269036264,-793.1136501576995,-793.1136501577063
33,49,LFTYTUAZOPRMMI-CFRASDGPSA-L,605.34,-3127.951886101465,-3103.5234803484464,-3115.7376832249556,791.0463960182692
34,51,XKMLYUALXHKNFT-UUOKFMHZSA-J,519.15,-138638.42006576544,131989.43845072557,-3324.4908075199282,-982.2317721053695
35,52,HSCJRCZFDFQWRP-JZMIEXBBSA-L,564.2869999999999,-3155.5010562755724,-3136.4164843401486,-3145.9587703078605,-701.8233017032646
36,53,MTCFGRXMJLQNBG-REOHCLBHSA-N,105.09299999999999,-524.2279647755937,-519.5754628381004,-521.901713806847,-521.9017138068438
37,55,XUJNEKJLAYXESH-REOHCLBHSA-N,121.15,-344.84497718452315,-332.8936895981169,-338.86933339132,-338.86933339133793
38,56,WSFSSNUMVMOOMR-UHFFFAOYSA-N,30.026,-126.905799933027,-121.17623120122849,-124.04101556712774,-124.04101556712291
39,57,RWSXRVCMGQZWBV-WDSKDSINSA-M,306.31,-947.7559912044225,-928.9543074193672,-938.3551493118948,-31.500644078373103
