,equilibrator id,stan_code
0,primary -Cl3 [H0 Z0 Mg0],1
1,primary -Cl2 [H0 Z0 Mg0],2
2,secondary -Cl2 [H0 Z0 Mg0],3
3,primary -Cl [H0 Z0 Mg0],4
4,secondary -Cl [H0 Z0 Mg0],5
5,tertiary -Cl [H0 Z0 Mg0],6
6,ring -Cl [H0 Z0 Mg0],7
7,ring -Br [H0 Z0 Mg0],8
8,ring -I [H0 Z0 Mg0],9
9,ring -F [H0 Z0 Mg0],10
10,-Br [H0 Z0 Mg0],11
11,-I [H0 Z0 Mg0],12
12,-F [H0 Z0 Mg0],13
13,-S-O [H1 Z0 Mg0],14
14,-S-O [H0 Z-1 Mg0],15
15,ring -s- [H0 Z0 Mg0],16
16,ring -S- [H0 Z0 Mg0],17
17,-SO3 [H1 Z0 Mg0],18
18,-SO3 [H0 Z-1 Mg0],19
19,-SO2- [H0 Z0 Mg0],20
20,-SOO [H0 Z-1 Mg0],21
21,-SOO [H1 Z0 Mg0],22
22,-S< [H0 Z0 Mg0],23
23,-S-S- [H0 Z0 Mg0],24
24,ring -S-S- [H0 Z0 Mg0],25
25,-C(=O)S- [H0 Z0 Mg0],26
26,-C(=O)S [H1 Z0 Mg0],27
27,-C(=O)S [H0 Z-1 Mg0],28
28,-S [H1 Z0 Mg0],29
29,-S [H0 Z-1 Mg0],30
30,-S- [H0 Z0 Mg0],31
31,-CO-OPO3 [H0 Z-2 Mg0],32
32,-CO-OPO3 [H1 Z-1 Mg0],33
33,-CO-OPO3 [H2 Z0 Mg0],34
34,CO-OPO3 [H1 Z-2 Mg0],35
35,CO-OPO3 [H2 Z-1 Mg0],36
36,CO-OPO3 [H3 Z0 Mg0],37
37,-OPO3- [H0 Z-1 Mg0],38
38,-OPO3- [H1 Z0 Mg0],39
39,-OPO2- [H0 Z-1 Mg0],40
40,-OPO2- [H1 Z0 Mg0],41
41,-OPO3 [H0 Z-2 Mg0],42
42,-OPO3 [H1 Z-1 Mg0],43
43,-OPO3 [H2 Z0 Mg0],44
44,-OPO3-OPO2- [H0 Z-2 Mg0],45
45,-OPO3-OPO2- [H1 Z-1 Mg0],46
46,-OPO3-OPO2- [H2 Z0 Mg0],47
47,-OPO3-OPO2- [H0 Z0 Mg1],48
48,-OPO2-OPO2- [H0 Z-2 Mg0],49
49,-OPO2-OPO2- [H1 Z-1 Mg0],50
50,-OPO2-OPO2- [H2 Z0 Mg0],51
51,-OPO2-OPO2- [H0 Z0 Mg1],52
52,ring -OPO3- [H0 Z-1 Mg0],53
53,ring -OPO3- [H1 Z0 Mg0],54
54,ring -OPO3-OPO2- [H0 Z-2 Mg0],55
55,ring -OPO3-OPO2- [H1 Z-1 Mg0],56
56,ring -OPO3-OPO2- [H2 Z0 Mg0],57
57,ring -OPO2-OPO2- [H0 Z-2 Mg0],58
58,ring -OPO2-OPO2- [H1 Z-1 Mg0],59
59,ring -OPO2-OPO2- [H2 Z0 Mg0],60
60,ring -OPO2-OPO2- [H0 Z0 Mg1],61
61,N-PO3 [H0 Z-2 Mg0],62
62,N-PO3 [H1 Z-1 Mg0],63
63,N-PO3 [H2 Z0 Mg0],64
64,C-PO3 [H0 Z-2 Mg0],65
65,C-PO3 [H1 Z-1 Mg0],66
66,C-PO3 [H2 Z0 Mg0],67
67,-NO2 [H0 Z0 Mg0],68
68,NC(=N)N [H0 Z0 Mg0],69
69,ring nc(=n)n [H0 Z0 Mg0],70
70,two fused rings =n< [H0 Z0 Mg0],71
71,ring =n< [H0 Z1 Mg0],72
72,ring =n< [H0 Z0 Mg0],73
73,ring -n= [H1 Z1 Mg0],74
74,ring -n= [H0 Z0 Mg0],75
75,ring -n= [H0 Z-1 Mg0],76
76,two fused rings -N< [H1 Z1 Mg0],77
77,two fused rings -N< [H0 Z0 Mg0],78
