,reference,eval,EC,enzyme_name,reaction,description,temperature,ionic_strength,p_h,p_mg,default_ionic_strength,standard_dg_prime,balance,weight,decompose,standard_dg,stoichiometry,reaction_id,standard_dg_cc,standard_dg_rc,standard_dg_gc
0,07LIN/ALG,A,1.1.1.87,homoisocitrate dehydrogenase,"Compound(id=5, inchi_key=XLYOFNOQVPJJNP-UHFFFAOYSA-N) + Compound(id=11, inchi_key=BAWFJGJZGIEFAR-NNYOXOHSSA-M) + Compound(id=691207, inchi_key=OEJZZCGRGVFWHK-UHFFFAOYSA-K) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=13, inchi_key=BOPGDPNILDQYTO-NNYOXOHSSA-L) + Compound(id=60, inchi_key=BVKZGUZCCUSVTD-UHFFFAOYSA-M) + Compound(id=250, inchi_key=FGSBNBBHOZHUBO-UHFFFAOYSA-L)","(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate(aq) + NAD(ox) = 2-oxoadipate(aq) + carbon dioxide(aq) + NAD(red)",298.15,0.25,7.5,,True,1.9784038286031003,True,1.0,,44.67907097286451,"{691207: -1.0, 11: -1.0, 250: 1.0, 60: 1.0, 13: 1.0, 5: -1.0, 3: 1.0}",186966759109527143,44.67907097285877,44.679070972860245,42.704051036181426
1,63GRE,C,3.5.4.9,methenyltetrahydrofolate cyclohydrolase,"Compound(id=5, inchi_key=XLYOFNOQVPJJNP-UHFFFAOYSA-N) + Compound(id=487, inchi_key=MEANFMOQMXYMCT-OLZOCXBDSA-M) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=224, inchi_key=AUFGTPPARQZWDO-YPMHNXCESA-L)","5,10-methenyltetrahydrofolate(aq) + H2O(l) = 10-formyltetrahydrofolate(aq)",298.15,0.25,6.5,,True,-3.5556034495967457,True,1.0,,36.386482040571735,"{487: -1.0, 5: -1.0, 224: 1.0, 3: 1.0}",1349204215246981340,36.09087712762869,36.090877127629255,37.672347553909276
2,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,2.96,True,-7.4494895339125256,True,1.0,,-7.449682123440428,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
3,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,2.8,True,-8.296158341158668,True,1.0,,-8.29635093068657,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
4,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,2.3,True,-9.011711525769167,True,1.0,,-9.01190411529707,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
5,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,,True,-6.180206988713425,True,1.0,,-6.180399578241327,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
6,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,,True,-8.296158341158668,True,1.0,,-8.29635093068657,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
7,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,,True,-8.397243708931782,True,1.0,,-8.397436298459684,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
8,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,,True,-8.766064167436118,True,1.0,,-8.76625675696402,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
9,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,2.68,True,-9.163363882561523,True,1.0,,-9.163556472089425,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
10,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,3.19,True,-6.801765171783232,True,1.0,,-6.801957761311134,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
11,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,,True,-6.979583707635076,True,1.0,,-6.979776297162978,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
12,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,,True,-7.5888394974181965,True,1.0,,-7.589032086946099,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
13,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,1.3,True,-8.588245631584275,True,1.0,,-8.588438221112177,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
14,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,,True,-5.193103247834033,True,1.0,,-5.193295837361935,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
15,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,,True,-7.302172496056583,True,1.0,,-7.302365085584485,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
