,formula,stoichiometry,reaction_id
0,+ coco:COCOM00001,{694312: 1},1
1,+ coco:COCOM00002,{694313: 1},2
2,+ coco:COCOM00003,{694314: 1},3
3,+ coco:COCOM00004,{694315: 1},4
4,+ coco:COCOM00005,{694316: 1},5
5,+ coco:COCOM00006,{694317: 1},6
6,+ coco:COCOM00007,{694318: 1},7
7,+ coco:COCOM00008,{694319: 1},8
8,+ coco:COCOM00009,{694320: 1},9
9,+ coco:COCOM00010,{694321: 1},10
10,+ coco:COCOM00011,{694322: 1},11
11,+ metanetx.chemical:MNXM1017,{940: 1},12
12,+ metanetx.chemical:MNXM105630,{81378: 1},13
13,+ metanetx.chemical:MNXM107,{101: 1},14
14,+ metanetx.chemical:MNXM108,{102: 1},15
15,+ metanetx.chemical:MNXM10881,{8576: 1},16
16,+ metanetx.chemical:MNXM10926,{8601: 1},17
17,+ metanetx.chemical:MNXM11,{14: 1},18
18,+ metanetx.chemical:MNXM111,{104: 1},19
19,+ metanetx.chemical:MNXM11523,{9025: 1},20
20,+ metanetx.chemical:MNXM116,{109: 1},21
21,+ metanetx.chemical:MNXM117,{110: 1},22
22,+ metanetx.chemical:MNXM1184,{1095: 1},23
23,+ metanetx.chemical:MNXM1191,{1101: 1},24
24,+ metanetx.chemical:MNXM1198,{1107: 1},25
25,+ metanetx.chemical:MNXM1239,{1144: 1},26
26,+ metanetx.chemical:MNXM126,{118: 1},27
27,+ metanetx.chemical:MNXM13,{16: 1},28
28,+ metanetx.chemical:MNXM131,{123: 1},29
29,+ metanetx.chemical:MNXM1380,{1260: 1},30
30,+ metanetx.chemical:MNXM13819,{10402: 1},31
31,+ metanetx.chemical:MNXM13820,{10403: 1},32
32,+ metanetx.chemical:MNXM13821,{10404: 1},33
33,+ metanetx.chemical:MNXM13824,{10405: 1},34
34,+ metanetx.chemical:MNXM13841,{10412: 1},35
35,+ metanetx.chemical:MNXM14,{17: 1},36
36,+ metanetx.chemical:MNXM140,{132: 1},37
37,+ metanetx.chemical:MNXM14140,{10511: 1},38
38,+ metanetx.chemical:MNXM142,{134: 1},39
39,+ metanetx.chemical:MNXM14207,{10530: 1},40
40,+ metanetx.chemical:MNXM1421,{1290: 1},41
41,+ metanetx.chemical:MNXM14271,{10559: 1},42
42,+ metanetx.chemical:MNXM1428,{1296: 1},43
43,+ metanetx.chemical:MNXM14472,{10660: 1},44
44,+ metanetx.chemical:MNXM145,{137: 1},45
45,+ metanetx.chemical:MNXM1459,{1322: 1},46
46,+ metanetx.chemical:MNXM147,{139: 1},47
47,+ metanetx.chemical:MNXM1470,{1332: 1},48
48,+ metanetx.chemical:MNXM149903,{120404: 1},49
49,+ metanetx.chemical:MNXM15,{18: 1},50
50,+ metanetx.chemical:MNXM154,{146: 1},51
51,+ metanetx.chemical:MNXM155029,{125172: 1},52
52,+ metanetx.chemical:MNXM157,{149: 1},53
53,+ metanetx.chemical:MNXM15883,{10929: 1},54
54,+ metanetx.chemical:MNXM160,{152: 1},55
55,+ metanetx.chemical:MNXM165,{157: 1},56
56,+ metanetx.chemical:MNXM165425,{134910: 1},57
57,+ metanetx.chemical:MNXM165476,{134961: 1},58
58,+ metanetx.chemical:MNXM165478,{134963: 1},59
59,+ metanetx.chemical:MNXM167,{159: 1},60
60,+ metanetx.chemical:MNXM168,{160: 1},61
61,+ metanetx.chemical:MNXM1735,{1564: 1},62
62,+ metanetx.chemical:MNXM179,{169: 1},63
63,+ metanetx.chemical:MNXM182,{172: 1},64
64,+ metanetx.chemical:MNXM189,{179: 1},65
65,+ metanetx.chemical:MNXM1932,{1721: 1},66
66,+ metanetx.chemical:MNXM195,{184: 1},67
67,+ metanetx.chemical:MNXM196,{185: 1},68
68,+ metanetx.chemical:MNXM198,{187: 1},69
69,+ metanetx.chemical:MNXM199,{188: 1},70
70,+ metanetx.chemical:MNXM2,{5: 1},71
71,+ metanetx.chemical:MNXM20,{22: 1},72
72,+ metanetx.chemical:MNXM2007,{1786: 1},73
73,+ metanetx.chemical:MNXM207,{195: 1},74
74,+ metanetx.chemical:MNXM212,{200: 1},75
75,+ metanetx.chemical:MNXM213,{201: 1},76
76,+ metanetx.chemical:MNXM2179,{1940: 1},77
77,+ metanetx.chemical:MNXM22,{24: 1},78
78,+ metanetx.chemical:MNXM222,{210: 1},79
79,+ metanetx.chemical:MNXM228,{215: 1},80
80,+ metanetx.chemical:MNXM23,{25: 1},81
81,+ metanetx.chemical:MNXM231,{218: 1},82
82,+ metanetx.chemical:MNXM2356,{2089: 1},83
83,+ metanetx.chemical:MNXM242,{229: 1},84
84,+ metanetx.chemical:MNXM243,{230: 1},85
85,+ metanetx.chemical:MNXM25,{27: 1},86
86,+ metanetx.chemical:MNXM254,{241: 1},87
87,+ metanetx.chemical:MNXM255,{242: 1},88
88,+ metanetx.chemical:MNXM26,{28: 1},89
89,+ metanetx.chemical:MNXM261,{248: 1},90
90,+ metanetx.chemical:MNXM275,{261: 1},91
91,+ metanetx.chemical:MNXM280,{266: 1},92
92,+ metanetx.chemical:MNXM287,{273: 1},93
93,+ metanetx.chemical:MNXM29,{31: 1},94
94,+ metanetx.chemical:MNXM291,{277: 1},95
95,+ metanetx.chemical:MNXM295,{281: 1},96
96,+ metanetx.chemical:MNXM3,{6: 1},97
97,+ metanetx.chemical:MNXM3005,{2646: 1},98
98,+ metanetx.chemical:MNXM303,{287: 1},99
99,+ metanetx.chemical:MNXM3085,{2700: 1},100
100,+ metanetx.chemical:MNXM3102,{2712: 1},101
101,+ metanetx.chemical:MNXM3103,{2713: 1},102
102,+ metanetx.chemical:MNXM3133,{2736: 1},103
103,+ metanetx.chemical:MNXM31999,{21310: 1},104
104,+ metanetx.chemical:MNXM32,{34: 1},105
105,+ metanetx.chemical:MNXM32005,{21316: 1},106
106,+ metanetx.chemical:MNXM32006,{21317: 1},107
107,+ metanetx.chemical:MNXM32049,{21358: 1},108
108,+ metanetx.chemical:MNXM32136,{21443: 1},109
109,+ metanetx.chemical:MNXM32237,{21539: 1},110
110,+ metanetx.chemical:MNXM3230,{2816: 1},111
111,+ metanetx.chemical:MNXM3235,{2820: 1},112
112,+ metanetx.chemical:MNXM3262,{2844: 1},113
113,+ metanetx.chemical:MNXM334,{316: 1},114
114,+ metanetx.chemical:MNXM336,{318: 1},115
115,+ metanetx.chemical:MNXM339,{321: 1},116
116,+ metanetx.chemical:MNXM341,{323: 1},117
117,+ metanetx.chemical:MNXM3458,{3005: 1},118
118,+ metanetx.chemical:MNXM34598,{23671: 1},119
119,+ metanetx.chemical:MNXM352,{333: 1},120
120,+ metanetx.chemical:MNXM362,{343: 1},121
121,+ metanetx.chemical:MNXM3633,{3153: 1},122
122,+ metanetx.chemical:MNXM37,{39: 1},123
123,+ metanetx.chemical:MNXM37357,{26143: 1},124
124,+ metanetx.chemical:MNXM37572,{26326: 1},125
125,+ metanetx.chemical:MNXM377,{357: 1},126
126,+ metanetx.chemical:MNXM379,{359: 1},127
127,+ metanetx.chemical:MNXM39,{41: 1},128
128,+ metanetx.chemical:MNXM390,{369: 1},129
129,+ metanetx.chemical:MNXM393,{372: 1},130
130,+ metanetx.chemical:MNXM398,{377: 1},131
131,+ metanetx.chemical:MNXM4,{7: 1},132
132,+ metanetx.chemical:MNXM400,{379: 1},133
133,+ metanetx.chemical:MNXM4002,{3454: 1},134
134,+ metanetx.chemical:MNXM404,{383: 1},135
135,+ metanetx.chemical:MNXM40579,{29047: 1},136
136,+ metanetx.chemical:MNXM41,{43: 1},137
137,+ metanetx.chemical:MNXM41271,{29687: 1},138
138,+ metanetx.chemical:MNXM417,{396: 1},139
139,+ metanetx.chemical:MNXM42,{44: 1},140
140,+ metanetx.chemical:MNXM4214,{3644: 1},141
141,+ metanetx.chemical:MNXM4219,{3649: 1},142
142,+ metanetx.chemical:MNXM429,{408: 1},143
143,+ metanetx.chemical:MNXM4328,{3747: 1},144
144,+ metanetx.chemical:MNXM435,{414: 1},145
145,+ metanetx.chemical:MNXM4374,{3789: 1},146
146,+ metanetx.chemical:MNXM441,{420: 1},147
147,+ metanetx.chemical:MNXM44968,{33085: 1},148
148,+ metanetx.chemical:MNXM4523,{3909: 1},149
149,+ metanetx.chemical:MNXM458,{437: 1},150
150,+ metanetx.chemical:MNXM46,{48: 1},151
151,+ metanetx.chemical:MNXM460,{438: 1},152
152,+ metanetx.chemical:MNXM469,{447: 1},153
153,+ metanetx.chemical:MNXM4835,{4187: 1},154
154,+ metanetx.chemical:MNXM504217,{473252: 1},155
155,+ metanetx.chemical:MNXM5083,{4400: 1},156
156,+ metanetx.chemical:MNXM5084,{4401: 1},157
157,+ metanetx.chemical:MNXM510,{486: 1},158
158,+ metanetx.chemical:MNXM53,{53: 1},159
159,+ metanetx.chemical:MNXM5399,{4643: 1},160
160,+ metanetx.chemical:MNXM541,{514: 1},161
161,+ metanetx.chemical:MNXM544,{516: 1},162
162,+ metanetx.chemical:MNXM5462,{4695: 1},163
163,+ metanetx.chemical:MNXM55,{55: 1},164
164,+ metanetx.chemical:MNXM56,{56: 1},165
165,+ metanetx.chemical:MNXM56307,{43314: 1},166
166,+ metanetx.chemical:MNXM56309,{43316: 1},167
167,+ metanetx.chemical:MNXM579,{549: 1},168
168,+ metanetx.chemical:MNXM58,{58: 1},169
169,+ metanetx.chemical:MNXM58018,{44860: 1},170
170,+ metanetx.chemical:MNXM59041,{45839: 1},171
171,+ metanetx.chemical:MNXM597,{567: 1},172
172,+ metanetx.chemical:MNXM60,{60: 1},173
173,+ metanetx.chemical:MNXM6107,{5184: 1},174
174,+ metanetx.chemical:MNXM615,{585: 1},175
175,+ metanetx.chemical:MNXM6396,{5400: 1},176
176,+ metanetx.chemical:MNXM653,{621: 1},177
177,+ metanetx.chemical:MNXM66,{64: 1},178
178,+ metanetx.chemical:MNXM6797,{5713: 1},179
179,+ metanetx.chemical:MNXM69,{66: 1},180
180,+ metanetx.chemical:MNXM7,{10: 1},181
181,+ metanetx.chemical:MNXM714,{675: 1},182
182,+ metanetx.chemical:MNXM722772,{691217: 1},183
183,+ metanetx.chemical:MNXM724,{684: 1},184
184,+ metanetx.chemical:MNXM73,{70: 1},185
185,+ metanetx.chemical:MNXM73137,{59027: 1},186
186,+ metanetx.chemical:MNXM73139,{59029: 1},187
187,+ metanetx.chemical:MNXM73202,{59087: 1},188
188,+ metanetx.chemical:MNXM74,{71: 1},189
189,+ metanetx.chemical:MNXM75,{72: 1},190
190,+ metanetx.chemical:MNXM76,{73: 1},191
191,+ metanetx.chemical:MNXM762,{715: 1},192
192,+ metanetx.chemical:MNXM77,{74: 1},193
193,+ metanetx.chemical:MNXM78182,{63823: 1},194
194,+ metanetx.chemical:MNXM796,{748: 1},195
195,+ metanetx.chemical:MNXM813,{764: 1},196
196,+ metanetx.chemical:MNXM836,{785: 1},197
197,+ metanetx.chemical:MNXM8595,{6982: 1},198
198,+ metanetx.chemical:MNXM872,{812: 1},199
199,+ metanetx.chemical:MNXM89,{84: 1},200
200,+ metanetx.chemical:MNXM894,{831: 1},201
201,+ metanetx.chemical:MNXM89557,{74378: 1},202
202,+ metanetx.chemical:MNXM89582,{74380: 1},203
203,+ metanetx.chemical:MNXM89588,{74381: 1},204
204,+ metanetx.chemical:MNXM89612,{74384: 1},205
205,+ metanetx.chemical:MNXM89661,{74392: 1},206
206,+ metanetx.chemical:MNXM9,{12: 1},207
207,+ metanetx.chemical:MNXM90068,{74443: 1},208
208,+ metanetx.chemical:MNXM90126,{74455: 1},209
209,+ metanetx.chemical:MNXM90941,{74603: 1},210
210,+ metanetx.chemical:MNXM91,{86: 1},211
211,+ metanetx.chemical:MNXM927,{859: 1},212
212,+ metanetx.chemical:MNXM93,{88: 1},213
213,+ metanetx.chemical:MNXM94,{89: 1},214
214,+ metanetx.chemical:MNXM95120,{75150: 1},215
215,+ metanetx.chemical:MNXM9519,{7631: 1},216
216,+ metanetx.chemical:MNXM9520,{7632: 1},217
217,+ metanetx.chemical:MNXM9521,{7633: 1},218
218,+ metanetx.chemical:MNXM97,{91: 1},219
219,+ metanetx.chemical:MNXM9763,{7804: 1},220
220,+ metanetx.chemical:MNXM977,{905: 1},221
221,+ metanetx.chemical:MNXM98,{92: 1},222
222,2 kegg:C00004 + kegg:C00007 = 2 kegg:C00003 + 2 kegg:C00001,"{13: -2.0, 7: -1.0, 11: 2.0, 5: 2.0}",223
223,2 kegg:C00008 = kegg:C00020 + kegg:C00002,"{10: -2.0, 17: 1.0, 6: 1.0}",224
224,2 kegg:C00024 = kegg:C00010 + kegg:C00332,"{23: -2.0, 15: 1.0, 125: 1.0}",225
225,2 kegg:C00042 + kegg:C00007 = 2 kegg:C00122 + 2 kegg:C00001,"{27: -2.0, 7: -1.0, 88: 2.0, 5: 2.0}",226
226,2 kegg:C00051 + kegg:C00003 = kegg:C00127 + kegg:C00004,"{57: -2.0, 11: -1.0, 143: 1.0, 13: 1.0}",227
227,2 kegg:C00051 + kegg:C00006 = kegg:C00127 + kegg:C00005,"{57: -2.0, 8: -1.0, 143: 1.0, 9: 1.0}",228
228,2 kegg:C00206 = kegg:C00360 + kegg:C00131,"{354: -2.0, 411: 1.0, 272: 1.0}",229
229,2 kegg:C00415 = kegg:C00504 + kegg:C00101,"{267: -2.0, 587: 1.0, 74383: 1.0}",230
230,2 kegg:C00704 = kegg:C00007 + kegg:C00027,"{312: -2.0, 7: 1.0, 24: 1.0}",231
231,4 kegg:C00126 + kegg:C00007 = 4 kegg:C00125 + 2 kegg:C00001,"{704: -4.0, 7: -1.0, 4914: 4.0, 5: 2.0}",232
232,kegg:C00002 + 3 kegg:C00001 = kegg:C00212 + 3 kegg:C00009,"{6: -1.0, 5: -3.0, 200: 1.0, 12: 3.0}",233
233,kegg:C00002 + kegg:C00001 = kegg:C00008 + kegg:C00009,"{6: -1.0, 5: -1.0, 10: 1.0, 12: 1.0}",234
234,kegg:C00002 + kegg:C00003 = kegg:C00008 + kegg:C00006,"{6: -1.0, 11: -1.0, 10: 1.0, 8: 1.0}",235
235,kegg:C00002 + kegg:C00008 = kegg:C03483 + kegg:C00020,"{6: -1.0, 10: -1.0, 1699: 1.0, 17: 1.0}",236
236,kegg:C00002 + kegg:C00015 = kegg:C00008 + kegg:C00075,"{6: -1.0, 20: -1.0, 10: 1.0, 113: 1.0}",237
237,kegg:C00002 + kegg:C00022 + kegg:C00001 = kegg:C00020 + kegg:C00074 + kegg:C00009,"{6: -1.0, 25: -1.0, 5: -1.0, 17: 1.0, 70: 1.0, 12: 1.0}",238
238,kegg:C00002 + kegg:C00022 + kegg:C00009 = kegg:C00020 + kegg:C00074 + kegg:C00013,"{6: -1.0, 25: -1.0, 12: -1.0, 17: 1.0, 70: 1.0, 14: 1.0}",239
239,kegg:C00002 + kegg:C00022 + kegg:C00288 = kegg:C00008 + kegg:C00009 + kegg:C00036,"{6: -1.0, 25: -1.0, 60: -1.0, 10: 1.0, 12: 1.0, 48: 1.0}",240
240,kegg:C00002 + kegg:C00022 = kegg:C00008 + kegg:C00074,"{6: -1.0, 25: -1.0, 10: 1.0, 70: 1.0}",241
241,kegg:C00002 + kegg:C00022 = kegg:C00074 + kegg:C00008,"{6: -1.0, 25: -1.0, 70: 1.0, 10: 1.0}",242
242,kegg:C00002 + kegg:C00025 + kegg:C00014 = kegg:C00008 + kegg:C00009 + kegg:C00064,"{6: -1.0, 74378: -1.0, 18: -1.0, 10: 1.0, 12: 1.0, 39: 1.0}",243
243,kegg:C00002 + kegg:C00031 = kegg:C00008 + kegg:C00092,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0}",244
244,kegg:C00002 + kegg:C00033 + kegg:C00010 = kegg:C00020 + kegg:C00013 + kegg:C00024,"{6: -1.0, 28: -1.0, 15: -1.0, 17: 1.0, 14: 1.0, 23: 1.0}",245
245,kegg:C00002 + kegg:C00033 = kegg:C00008 + kegg:C00227,"{6: -1.0, 28: -1.0, 10: 1.0, 266: 1.0}",246
246,kegg:C00002 + kegg:C00035 = kegg:C00008 + kegg:C00044,"{6: -1.0, 32: -1.0, 10: 1.0, 51: 1.0}",247
247,kegg:C00002 + kegg:C00042 + kegg:C00010 = kegg:C00008 + kegg:C00009 + kegg:C00091,"{6: -1.0, 27: -1.0, 15: -1.0, 10: 1.0, 12: 1.0, 87: 1.0}",248
248,kegg:C00002 + kegg:C00047 + kegg:C01646 = kegg:C00020 + kegg:C00013 + kegg:C01931,"{6: -1.0, 75: -1.0, 74589: -1.0, 17: 1.0, 14: 1.0, 74428: 1.0}",249
249,kegg:C00002 + kegg:C00049 = kegg:C00008 + kegg:C03082,"{6: -1.0, 44: -1.0, 10: 1.0, 1088: 1.0}",250
250,kegg:C00002 + kegg:C00055 = kegg:C00008 + kegg:C00112,"{6: -1.0, 33: -1.0, 10: 1.0, 208: 1.0}",251
251,kegg:C00002 + kegg:C00058 + kegg:C00101 = kegg:C00008 + kegg:C00009 + kegg:C00234,"{6: -1.0, 41: -1.0, 74383: -1.0, 10: 1.0, 12: 1.0, 224: 1.0}",252
252,kegg:C00002 + kegg:C00059 + kegg:C00001 = 2 kegg:C00009 + kegg:C00224,"{6: -1.0, 58: -1.0, 5: -1.0, 12: 2.0, 273: 1.0}",253
253,kegg:C00002 + kegg:C00059 + kegg:C00001 = kegg:C00224 + 2 kegg:C00009,"{6: -1.0, 58: -1.0, 5: -1.0, 273: 1.0, 12: 2.0}",254
254,kegg:C00002 + kegg:C00059 = kegg:C00013 + kegg:C00224,"{6: -1.0, 58: -1.0, 14: 1.0, 273: 1.0}",255
255,kegg:C00002 + kegg:C00059 = kegg:C00224 + kegg:C00013,"{6: -1.0, 58: -1.0, 273: 1.0, 14: 1.0}",256
256,kegg:C00002 + kegg:C00062 + kegg:C01636 = kegg:C00020 + kegg:C00013 + kegg:C02163,"{6: -1.0, 67: -1.0, 74561: -1.0, 17: 1.0, 14: 1.0, 74421: 1.0}",257
257,kegg:C00002 + kegg:C00062 = kegg:C00008 + kegg:C05945,"{6: -1.0, 67: -1.0, 10: 1.0, 3176: 1.0}",258
258,kegg:C00002 + kegg:C00065 + kegg:C01650 = kegg:C00020 + kegg:C00013 + kegg:C02553,"{6: -1.0, 53: -1.0, 74617: -1.0, 17: 1.0, 14: 1.0, 74581: 1.0}",259
259,kegg:C00002 + kegg:C00079 + kegg:C01648 = kegg:C00020 + kegg:C00013 + kegg:C03511,"{6: -1.0, 91: -1.0, 74563: -1.0, 17: 1.0, 14: 1.0, 74409: 1.0}",260
260,kegg:C00002 + kegg:C00082 + kegg:C00787 = kegg:C00020 + kegg:C00013 + kegg:C02839,"{6: -1.0, 73: -1.0, 74549: -1.0, 17: 1.0, 14: 1.0, 74416: 1.0}",261
261,kegg:C00002 + kegg:C00085 = kegg:C00008 + kegg:C00354,"{6: -1.0, 125172: -1.0, 10: 1.0, 396: 1.0}",262
262,kegg:C00002 + kegg:C00095 = kegg:C00008 + kegg:C00085,"{6: -1.0, 1260: -1.0, 10: 1.0, 125172: 1.0}",263
263,kegg:C00002 + kegg:C00100 + kegg:C00288 = kegg:C00008 + kegg:C00009 + kegg:C02557,"{6: -1.0, 81: -1.0, 60: -1.0, 10: 1.0, 12: 1.0, 131807: 1.0}",264
264,kegg:C00002 + kegg:C00103 = kegg:C00498 + kegg:C00013,"{6: -1.0, 74381: -1.0, 532: 1.0, 14: 1.0}",265
265,kegg:C00002 + kegg:C00104 = kegg:C00008 + kegg:C00081,"{6: -1.0, 472: -1.0, 10: 1.0, 402: 1.0}",266
266,kegg:C00002 + kegg:C00116 = kegg:C00008 + kegg:C00093,"{6: -1.0, 74384: -1.0, 10: 1.0, 64: 1.0}",267
267,kegg:C00002 + kegg:C00117 = kegg:C00020 + kegg:C00119,"{6: -1.0, 109: -1.0, 17: 1.0, 86: 1.0}",268
268,kegg:C00002 + kegg:C00124 = kegg:C00008 + kegg:C03384,"{6: -1.0, 369: -1.0, 10: 1.0, 318: 1.0}",269
