,reaction_id,stoichiometry
0,186966759109527143,"{691207: -1.0, 11: -1.0, 250: 1.0, 60: 1.0, 13: 1.0, 5: -1.0, 3: 1.0}"
1,1349204215246981340,"{487: -1.0, 5: -1.0, 224: 1.0, 3: 1.0}"
2,7250593312195052843,"{74392: -1.0, 123: 1.0}"
3,-6499772814337559815,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}"
4,4737922193451855302,"{6: -1.0, 74381: -1.0, 532: 1.0, 14: 1.0}"
5,6876134337506736082,"{87: -1.0, 146: -1.0, 27: 1.0, 125: 1.0}"
6,981946081365563930,"{354: -2.0, 411: 1.0, 272: 1.0, 3: 1.0}"
7,7343660546929575490,"{1497: -1.0, 137: 1.0, 56: 1.0}"
8,3170648209904126635,"{74378: -1.0, 8: -1.0, 5: -1.0, 22: 1.0, 9: 1.0, 18: 1.0, 3: 1.0}"
9,-8536340822321382590,"{169: -1.0, 11: -1.0, 25: 1.0, 13: 1.0, 3: 1.0}"
10,6503277626690509612,"{57: -2.0, 11: -1.0, 143: 1.0, 13: 1.0, 3: 1.0}"
11,8148523035313414359,"{82: -1.0, 1011: 1.0}"
12,-4368646494129730171,"{23: -1.0, 12: -1.0, 15: 1.0, 266: 1.0}"
13,1733590353754184,"{131778: -1.0, 11: -1.0, 404: 1.0, 13: 1.0, 3: 1.0}"
14,1198981896543587853,"{17: -1.0, 5: -1.0, 200: 1.0, 12: 1.0}"
15,-4194555864042929039,"{169: -1.0, 694323: -1.0, 25: 1.0, 694324: 1.0, 3: 1.0}"
16,-7172871125164766852,"{14: -1.0, 53: -1.0, 12: 1.0, 359: 1.0, 3: 1.0}"
17,3017121664746491185,"{57: -2.0, 8: -1.0, 143: 1.0, 9: 1.0, 3: 1.0}"
18,-8146231473564530844,"{534: -1.0, 12: -1.0, 15: 1.0, 3970: 1.0}"
19,5369302002695203606,"{6: -1.0, 125172: -1.0, 10: 1.0, 396: 1.0, 3: 1.0}"
20,987705044675744595,"{837: -1.0, 176: 1.0}"
21,-6744877645062607630,"{572: -1.0, 8: -1.0, 581: 1.0, 9: 1.0, 3: 1.0}"
22,8678503864598892769,"{447: -1.0, 11: -1.0, 1260: 1.0, 13: 1.0, 3: 1.0}"
23,4808907525711363670,"{74537: -1.0, 8: -1.0, 928: 1.0, 9: 1.0, 3: 1.0}"
24,407900310599463305,"{6: -1.0, 379: -1.0, 10: 1.0, 74456: 1.0, 3: 1.0}"
25,8167590041044536301,"{287: -1.0, 11: -1.0, 72: 1.0, 13: 1.0, 3: 1.0}"
26,8244838607273426836,"{396: -1.0, 74: 2.0}"
27,6973642524290006996,"{152: -1.0, 125172: 1.0}"
28,-7562599798093915018,"{10: -2.0, 17: 1.0, 6: 1.0, 3: 1.0}"
29,-3164385390238126719,"{74384: -1.0, 8: -1.0, 414: 1.0, 9: 1.0, 3: 1.0}"
30,2436789154268764087,"{554: -1.0, 5: -1.0, 467: 1.0, 110: 1.0}"
31,-1826395897549750037,"{486: -1.0, 11: -1.0, 567: 1.0, 13: 1.0, 3: 1.0}"
32,4267599336300546298,"{118: -1.0, 11: -1.0, 514: 1.0, 13: 1.0, 3: 1.0}"
33,2336767313444016558,"{866: -1.0, 160: -1.0, 594: 1.0, 201: 1.0}"
34,-4804754287300810533,"{316: -1.0, 12: -1.0, 201: 1.0, 281: 1.0}"
35,5277401641939870117,"{92: -1.0, 23: -1.0, 11: -1.0, 5: -1.0, 123: 1.0, 15: 1.0, 13: 1.0, 3: 2.0}"
36,-8780628502981898327,"{578: -1.0, 87: 1.0}"
37,-9135026512406588580,"{396: -1.0, 5: -1.0, 125172: 1.0, 12: 1.0}"
38,6588919452711391744,"{711: -1.0, 11: -1.0, 677: 1.0, 13: 1.0, 3: 1.0}"
39,-5726389227823939706,"{425: -1.0, 11: -1.0, 125: 1.0, 13: 1.0, 3: 1.0}"
40,-3139533678901088615,"{6: -1.0, 118: -1.0, 10: 1.0, 248: 1.0}"
41,2233731584182830167,"{493: -1.0, 14: -1.0, 222: 1.0, 86: 1.0, 3: -1.0}"
42,6210800125492690527,"{1065: -1.0, 1578: 1.0}"
43,8707243331175592257,"{71: -1.0, 74: 1.0}"
44,-869850633456966484,"{6: -1.0, 701: -1.0, 10: 1.0, 130: 1.0}"
45,7190984277149311230,"{6: -1.0, 25: -1.0, 12: -1.0, 17: 1.0, 70: 1.0, 14: 1.0, 3: 2.0}"
46,1388465196634887642,"{74603: -1.0, 567: 1.0}"
47,-2057384370015662956,"{489: -1.0, 11: -1.0, 163: 1.0, 13: 1.0, 3: 1.0}"
48,-99477813365225716,"{6: -1.0, 74378: -1.0, 18: -1.0, 10: 1.0, 12: 1.0, 39: 1.0, 3: 1.0}"
49,-5415105282518118661,"{29047: -1.0, 125172: 1.0}"
50,9084539548008749025,"{817: -1.0, 590: -1.0, 119: 1.0, 1356: 1.0}"
51,-8630838916354147283,"{6: -1.0, 230: 1.0, 14: 1.0, 3: 1.0}"
52,7347325458507937848,"{113: -1.0, 74429: -1.0, 49: 1.0, 14: 1.0}"
53,73556005248960653,"{159: -1.0, 12: -1.0, 74381: 1.0, 1260: 1.0}"
54,-7379003169437146610,"{92: -1.0, 8: -1.0, 5: -1.0, 25: 1.0, 9: 1.0, 60: 1.0, 3: 1.0}"
55,-7473424719822025011,"{6: -1.0, 81: -1.0, 60: -1.0, 10: 1.0, 12: 1.0, 131807: 1.0, 3: 1.0}"
56,5761344330239046308,"{34: -1.0, 22: -1.0, 25: 1.0, 74378: 1.0}"
